"COURT_ROOM_ID","COURT_ROOM_NAME","DESCRIPTION","CREST_COURT_ROOM_NO","COURT_SITE_ID","LAST_UPDATE_DATE","CREATION_DATE","CREATED_BY","LAST_UPDATED_BY","VERSION","OBS_IND","DISPLAY_NAME","SECURITY_IND","VIDEO_IND"
1661,"Court 5","Court Room 5",5,104,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 5","",""
1662,"Court 6","Court Room 6",6,104,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 6","",""
141,"Court 3","Court 3",3,54,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 3","",""
142,"Court 4","Court 4",4,54,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 4","",""
143,"Court 5","Court 5",5,54,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 5","",""
144,"Court 6","Court 6",6,54,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 6","",""
195,"Court 2","Court 2",2,87,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 2","",""
196,"Court 3","Court 3",3,87,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 3","",""
197,"Court 4","Court 4",4,87,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 4","",""
198,"Court 5","Court 5",5,87,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 5","",""
199,"Court 6","Court 6",6,87,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 6","",""
200,"Court 7","Court 7",7,87,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 7","",""
201,"Court 8","Court 8",8,87,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 8","",""
202,"Court 9","Court 9",9,87,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 9","",""
203,"Court 10","Court 10",10,87,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 10","",""
204,"Court 1","Court 1",1,88,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 1","",""
205,"Court 1","Court 1",1,89,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 1","",""
206,"Court 2","Court 2",2,89,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 2","",""
207,"Court 1","Court 1",1,90,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 1","",""
208,"Court 2","Court 2",2,90,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 2","",""
209,"Court 3","Court 3",3,90,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 3","",""
282,"Court 1","Court 1",1,132,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 1","",""
283,"Court 2","Court 2",2,132,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 2","",""
284,"Court 3","Court 3",3,132,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 3","",""
285,"Court 4","Court 4",4,132,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 4","",""
286,"Court 5","Court 5",5,132,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 5","",""
287,"Court 6","Court 6",6,132,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 6","",""
288,"Court 10","Court 10",10,132,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 10","",""
675,"Court 1","Court 1",1,328,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 1","",""
676,"Court 2","Court 2",2,328,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 2","",""
677,"Court 3","Court 3",3,328,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 3","",""
678,"Court 4","Court 4",4,328,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 4","",""
679,"Court 5","Court 5",5,328,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 5","",""
680,"Court 6","Court 6",6,328,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 6","",""
681,"Court 7","Court 7",7,328,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 7","",""
682,"Court 8","Court 8",8,328,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 8","",""
683,"Court 9","Court 9",9,328,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 9","",""
684,"Court 10","Court 10",10,328,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 10","",""
685,"Court 11","Court 11",11,328,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 11","",""
686,"Court 12","Court 12",12,328,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 12","",""
687,"Court 13","Court 13",13,328,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 13","",""
688,"Court 14","Court 14",14,328,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 14","",""
689,"Court 15","Court 15",15,328,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 15","",""
690,"Court 16","Court 16",16,328,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 16","",""
691,"Court 17","Court 17",17,328,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 17","",""
692,"Court 18","Court 18",18,328,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 18","",""
693,"Court 19","Court 19",19,328,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 19","",""
694,"Court 20","Court 20",20,328,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"","Court Room 20","",""
1113,"Court 2","Court 2",2,519,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 2","",""
1114,"Court 3","Court 3",3,519,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 3","",""
1115,"Court 4","Court 4",4,519,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 4","",""
1116,"Court 1","Court 1",1,519,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 1","",""
1255,"Court 1","Court 1",1,615,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 1","",""
1256,"Court 2","Court 2",2,615,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 2","",""
1575,"Court 5","Court Room 5",5,477,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 5","",""
1576,"Court 6","Court Room 6",6,477,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 6","",""
1577,"Court 7","Court Room 7",7,477,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 7","",""
1578,"Court 8","Court Room 8",8,477,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 8","",""
1579,"Court 9","Court Room 9",9,477,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 9","",""
1580,"Court 10","Court Room 10",10,477,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 10","",""
1673,"Court 4","Court Room 4",4,686,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 4","",""
1674,"Court 5","Court Room 5",5,686,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 5","",""
1675,"Court 6","Court Room 6",6,686,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 6","",""
1676,"Court 7","Court Room 7",7,686,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 7","",""
1677,"Court 8","Court Room 8",8,686,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 8","",""
1678,"Court 9","Court Room 9",9,686,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 9","",""
1679,"Court 10","Court Room 10",10,686,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 10","",""
1790,"Court 3","Court Room 3",3,782,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 3","",""
1791,"Court 4","Court Room 4",4,782,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 4","",""
1792,"Court 5","Court Room 5",5,782,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 5","",""
1793,"Court 6","Court Room 6",6,782,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 6","",""
1794,"Court 7","Court Room 7",7,782,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 7","",""
1795,"Court 8","Court Room 8",8,782,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 8","",""
1796,"Court 9","Court Room 9",9,782,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 9","",""
1797,"Court 10","Court Room 10",10,782,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 10","",""
2257,"Court 9","Court Room 9",9,781,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 9","",""
2242,"Court 8","Court Room 8",8,781,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 8","",""
2258,"Court 10","Court Room 10",10,781,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 10","",""
979,"Court 2","Court 2",2,459,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 2","",""
980,"Court 3","Court 3",3,459,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 3","",""
978,"Court 1","Court 1",1,459,25-APR-12 20:01:18,01-APR-09 15:25:51,"XHIBIT","XHIBIT",3,"N","Court 1","",""
981,"Court 4","Court 4",4,459,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 4","",""
982,"Court 5","Court 5",5,459,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 5","",""
983,"Court 6","Court 6",6,459,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 6","",""
984,"Court 7","Court 7",7,459,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 7","",""
985,"Court 8","Court 8",8,459,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 8","",""
986,"Court 9","Court 9",9,459,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 9","",""
987,"Court 10","Court 10",10,459,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 10","",""
988,"Court 1","Court 1",1,460,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 1","",""
989,"Court 2","Court 2",2,460,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 2","",""
990,"Court 3","Court 3",3,460,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 3","",""
1663,"Court 7","Court Room 7",7,104,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 7","",""
1664,"Court 8","Court Room 8",8,104,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 8","",""
1666,"Court 9","Court Room 9",9,104,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 9","",""
1668,"Court 10","Court Room 10",10,104,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 10","",""
7161,"Court 11","Court Room 11",11,724,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 11","",""
55,"Court 1","Court 1",1,5,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 1","",""
56,"Court 2","Court 2",2,5,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 2","",""
57,"Court 3","Court 3",3,5,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 3","",""
58,"Court 4","Court 4",4,5,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 4","",""
165,"Court 1","Court 1",1,75,03-MAY-12 20:01:32,01-APR-09 15:25:51,"XHIBIT","XHIBIT",8,"N","Court Room 1","",""
166,"Court 2","Court 2",2,75,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 2","",""
167,"Court 3","Court 3",3,75,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 3","",""
168,"Court 4","Court 4",4,75,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 4","",""
169,"Court 5","Court 5",5,75,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 5","",""
170,"Court 6","Court 6",6,75,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 6","",""
171,"Court 7","Court 7",7,75,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 7","",""
172,"Court 8","Court 8",8,75,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 8","",""
173,"Court 9","Court 9",9,75,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 9","",""
174,"Court 10","Court 10",10,75,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 10","",""
1567,"Court 3","Court Room 3",3,251,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 3","",""
1568,"Court 4","Court Room 4",4,251,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 4","",""
1569,"Court 5","Court Room 5",5,251,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 5","",""
1570,"Court 6","Court Room 6",6,251,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 6","",""
1571,"Court 7","Court Room 7",7,251,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 7","",""
1572,"Court 8","Court Room 8",8,251,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 8","",""
1573,"Court 9","Court Room 9",9,251,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 9","",""
1574,"Court 10","Court Room 10",10,251,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 10","",""
7087,"Court 11","Court Room 11",11,218,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 11","",""
7117,"Court 11","Court Room 11",11,219,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 11","",""
121,"Court 2","Court 2",2,41,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 2","",""
122,"Court 3","Court 3",3,41,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 3","",""
123,"Court 4","Court 4",4,41,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 4","",""
124,"Court 5","Court 5",5,41,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 5","",""
125,"Court 1","Court 1",1,41,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 1","",""
126,"Court 1","Court 1",1,42,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 1","",""
127,"Court 2","Court 2",2,42,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 2","",""
788,"Court 1","Court 1",1,379,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 1","",""
789,"Court 2","Court 2",2,379,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 2","",""
790,"Court 3","Court 3",3,379,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 3","",""
791,"Court 4","Court 4",4,379,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 4","",""
792,"Court 5","Court 5",5,379,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 5","",""
793,"Court 6","Court 6",6,379,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 6","",""
794,"Court 7","Court 7",7,379,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 7","",""
795,"Court 8","Court 8",8,379,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 8","",""
796,"Court 9","Court 9",9,379,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 9","",""
797,"Court 10","Court 10",10,379,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 10","",""
798,"Court 1","Court 1",1,380,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 1","",""
799,"Court 2","Court 2",2,380,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 2","",""
800,"Court 3","Court 3",3,380,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 3","",""
801,"Court 4","Court 4",4,380,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 4","",""
802,"Court 5","Court 5",5,380,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 5","",""
803,"Court 6","Court 6",6,380,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 6","",""
1399,"Court 7","Court Room 7",7,169,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 7","",""
184,"Court 2","Court 2",2,81,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 2","",""
326,"Court 1","Court 1",1,150,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 1","",""
327,"Court 2","Court 2",2,150,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 2","",""
183,"Court 1","Court 1",1,81,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 1","",""
740,"Court 1","Court 1",1,358,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 1","",""
741,"Court 2","Court 2",2,358,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 2","",""
742,"Court 3","Court 3",3,358,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 3","",""
743,"Court 4","Court 4",4,358,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 4","",""
744,"Court 5","Court 5",5,358,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 5","",""
745,"Court 6","Court 6",6,358,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 6","",""
746,"Court 7","Court 7",7,358,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court 7","",""
1371,"Court 99","Court Room 99",99,250,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 99","",""
7160,"Court 11","Court Room 11",11,781,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 11","",""
7075,"Court 11","Court Room 11",11,195,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 11","",""
7157,"Court 11","Court Room 11",11,780,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 11","",""
1052,"Court 99","Court Room 99",99,251,01-APR-09 15:25:51,01-APR-09 15:25:51,"XHIBIT","XHIBIT",1,"N","Court Room 99","",""
8112,"Court 1","Court Room 1",1,1610,28-AUG-14 15:20:53,01-APR-09 15:25:51,"XHIBIT","XHIBIT",199,"N","Court Room 1","",""
