"REF_JUDGE_ID","JUDGE_TYPE","CREST_JUDGE_ID","TITLE","FIRST_NAME","MIDDLE_NAME","SURNAME","FULL_LIST_TITLE1","FULL_LIST_TITLE2","FULL_LIST_TITLE3","STATS_CODE","INITIALS","HONOURS","JUD_VERS","OBS_IND","SOURCE_TABLE","LAST_UPDATE_DATE","CREATION_DATE","CREATED_BY","LAST_UPDATED_BY","VERSION","COURT_ID"
35063,"R",22,"MR","MELVIN","ARNOLD","CASTILLO","Before Judge : CASTILLO","","","40018","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35064,"R",362,"MS","VICKI","JOANN","AUSTIN","Before Judge : AUSTIN","","","","","SITTING AT SHEFFIELD CROWN COURT","","Y","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35065,"AR",363,"MS","MARGARET","TERRI","DIAZ","Before Judge : DIAZ","","","60272","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35066,"R",25,"MR","RANDY","LLOYD","BANKS","Before Judge : BANKS","","","49470","","QC","","Y","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35067,"R",104,"MR","HERBERT","CHRIS","RYAN","Before Judge : RYAN","","","45950","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35068,"R",365,"MRS","ESTHER","LILLIAN","OLIVER","Before Judge : OLIVER","","","40521","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35069,"R",113,"MS","CATHERINE","RENEE","CAMPBELL","Before Judge : CAMPBELL","","","40257","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35070,"AR",114,"DR","MICHAEL","AARON","BROWN","Before Judge : BROWN","","","63350","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35071,"AR",117,"MISS","CAROLINE","STACY","WARREN","Before Judge : WARREN","","","61450","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35072,"R",119,"MR","REGINALD","JOHN","JORDAN","Before Judge : JORDAN","","","47910","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35073,"AR",132,"MISS","LORI","RITA","COLE","Before Judge : COLE","","","61370","","","","Y","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35074,"R",120,"MR","JOSEPH","CLINTON","MARTINEZ","Before Judge : MARTINEZ","","","40154","","","","Y","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35075,"AR",60,"MR","DANIEL","DARREN","HICKS","Before Judge : HICKS","","","63720","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35076,"AR",62,"MISS","CATHERINE","JULIA","FRANKLIN","Before Judge : FRANKLIN","","","60058","","Q.C.","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35077,"R",63,"MRS","DANIELLE","ESTHER","HOWARD","Before Judge : HOWARD","","","","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35078,"AR",65,"MS","ESTHER","VIOLA","MORGAN","Before Judge : MORGAN","","","","","","","Y","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35079,"R",66,"MR","BENJAMIN","DALE","CAMPBELL","Before Judge : CAMPBELL","","","40244","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35080,"CJ",99999,"LADY","AGNES","BERNICE","HARRIS","Before Judge : HARRIS","","","","","","","Y","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35081,"R",140,"MR","WALTER","DON","HUDSON","Before Judge : HUDSON","","","40157","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35082,"CJ",142,"MR","TED","DAN","SNYDER","Before Judge : SNYDER","","","30022","","","","Y","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35083,"CJ",143,"MR","ROGER","LESLIE","ROSS","Before Judge : ROSS","","","30050","","Q.C.","","Y","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35084,"AR",144,"MR","BILL","PETER","MEDINA","Before Judge : MEDINA","","","","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35085,"R",146,"MRS","JAMIE","SUE","OLIVER","Before Judge : OLIVER","","","41100","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35086,"CJ",147,"MR","ROGER","BENJAMIN","DIAZ","Before Judge : DIAZ","","","33690","","Q.C.","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35087,"R",148,"MRS","RITA","SHANNON","CAMPBELL","Before Judge : CAMPBELL","","","44370","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35088,"R",149,"MR","LONNIE","TOM","ROBINSON","Before Judge : ROBINSON","","","46360","","Q.C.","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35089,"CJ",150,"MS","STELLA","CLAUDIA","FOSTER","Before Judge : FOSTER","","","30028","","","","Y","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35090,"R",151,"MRS","KRISTEN","NORMA","BISHOP","Before Judge : BISHOP","","","49030","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35091,"R",152,"MS","CATHERINE","NORMA","SANCHEZ","Before Judge : SANCHEZ","","","","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35092,"R",153,"MRS","SAMANTHA","JILL","MCDONALD","Before Judge : MCDONALD","","","","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35093,"R",154,"MR","GARY","BILLY","MYERS","Before Judge : MYERS","","","40360","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35094,"R",155,"MRS","JULIA","REBECCA","BANKS","Before Judge : BANKS","","","46370","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35095,"R",156,"MRS","GINA","LAURA","SIMS","Before Judge : SIMS","","","40501","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35096,"AR",157,"MRS","SUE","JOANN","WATSON","Before Judge : WATSON","","","","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35097,"R",158,"MR","MANUEL","JACOB","WATKINS","Before Judge : WATKINS","","","40372","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35098,"AR",159,"MR","HERBERT","HARVEY","JAMES","Before Judge : JAMES","","","66670","","Q.C.","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35099,"AR",160,"PROFESSOR","BRIAN","COREY","ARNOLD","Before Judge : ARNOLD","","","60075","","Q.C.","","Y","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35100,"R",161,"MS","EVA","THERESA","SMITH","Before Judge : SMITH","","","46410","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35101,"R",162,"MRS","VERA","SAMANTHA","PARKER","Before Judge : PARKER","","","","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35102,"R",163,"MR","BRANDON","BERNARD","WHEELER","Before Judge : WHEELER","","","47640","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35103,"R",164,"MR","LOUIS","","WELCH","Before Judge : WELCH","","","","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35104,"R",165,"MS","SUE","JILL","HENDERSON","Before Judge : HENDERSON","","","","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35105,"CJ",166,"MS","JACQUELINE","ROSA","ROBERTS","Before Judge : ROBERTS","","","30091","","","","Y","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35106,"R",168,"MISS","ELIZABETH","ELLEN","GUTIERREZ","Before Judge : GUTIERREZ","","","40069","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35107,"R",169,"MR","KARL","ANDREW","BAILEY","Before Judge : BAILEY","","","47740","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35108,"R",170,"MRS","JESSIE","CRYSTAL","CAMPBELL","Before Judge : CAMPBELL","","","44440","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35109,"R",171,"MR","BRANDON","MELVIN","HARVEY","Before Judge : HARVEY","","","40074","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35110,"CJ",172,"MRS","LILLIAN","LILLIAN","HUDSON","Before Judge : HUDSON","","","39270","","","","Y","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35111,"CJ",173,"MR","FRED","FRANK","WILLIAMSON","Before Judge : WILLIAMSON","","","","","","","Y","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35112,"AR",174,"MRS","TERRI","DANA","RICHARDSON","Before Judge : RICHARDSON","","","63710","","","","Y","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35113,"AR",175,"MS","ANITA","KATHRYN","ROBERTSON","Before Judge : ROBERTSON","","","","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35114,"R",176,"MR","PEDRO","VICTOR","DUNCAN","Before Judge : DUNCAN","","","40068","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35617,"R",69,"MS","BONNIE","GLENDA","RODRIGUEZ","Before Judge : RODRIGUEZ","","","","","","","N","",20-APR-12 09:25:21,18-APR-12 17:00:09,"Mercator","Mercator",10,55
34982,"R",818,"THE HAPPY JUDGE","JOHN","BLOODY ASSIZES","JEFFRIES20081029","The Happy Judge John Assizes Jeffries","","","","JBA","KC","","N","",27-MAR-15 10:28:08,21-MAY-09 16:02:58,"Mercator","Mercator",290,81
35115,"R",177,"MR","ALEX","RICK","WRIGHT","Before Judge : WRIGHT","","","40142","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35116,"AR",178,"MR","COREY","BRETT","HUDSON","Before Judge : HUDSON","","","63670","","","","Y","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35117,"R",179,"MS","JANICE","LAUREN","WILLIAMS","Before Judge : WILLIAMS","","","40143","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35118,"CJ",184,"MS","TANYA","DEBORAH","MENDOZA","Before Judge : MENDOZA","","","30018","","","","Y","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35119,"R",185,"MR","VICTOR","ERIC","HENRY","Before Judge : HENRY","","","49120","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35120,"R",186,"MR","WARREN","DAN","LEE","Before Judge : LEE","","","40145","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35121,"R",187,"MR","TODD","JUSTIN","KELLEY","Before Judge : KELLEY","","","40146","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35122,"R",188,"MR","CHARLIE","RONNIE","BAKER","Before Judge : BAKER","","","40261","","","","Y","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35123,"AR",189,"MRS","FLORENCE","GLADYS","PEREZ","Before Judge : PEREZ","","","60029","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35124,"CJ",190,"MR","STEVEN","TIMOTHY","KELLEY","Before Judge : KELLEY","","","30124","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35125,"R",191,"MISS","ROSEMARY","LILLIAN","ROBINSON","Before Judge : ROBINSON","","","48750","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35126,"R",192,"MR","BEN","JOEL","MILLER","Before Judge : MILLER","","","40148","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35127,"R",193,"MS","REGINA","CATHY","ROBINSON","Before Judge : ROBINSON","","","47820","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35128,"R",194,"MISS","JUDITH","YOLANDA","BAILEY","Before Judge : BAILEY","","","43630","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35129,"CJ",195,"MR","MANUEL","ALAN","NELSON","Before Judge : NELSON","","","35010","","QC","","Y","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35130,"R",196,"MR","TED","LEROY","HARVEY","Before Judge : HARVEY","","","41300","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35131,"R",197,"MRS","FLORENCE","ERICA","HANSON","Before Judge : HANSON","","","41049","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35132,"R",198,"MS","RHONDA","FLORENCE","CHAVEZ","Before Judge : CHAVEZ","","","41340","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35133,"R",199,"DR","RAY","SAMUEL","TURNER","Before Judge : TURNER","","","","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35134,"CJ",200,"MS","CAROLYN","LAUREN","COOPER","Before Judge : COOPER","","","39400","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35135,"CJ",201,"MS","MAUREEN","DAWN","TORRES","Before Judge : TORRES","","","34890","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35136,"CJ",202,"MR","HERMAN","ROBERT","FLORES","Before Judge : FLORES","","","30099","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35137,"R",203,"MRS","DOROTHY","ROSE","ROSE","Before Judge : ROSE","","","40394","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35138,"AR",204,"MRS","CAROLYN","MELANIE","LAWRENCE","Before Judge : LAWRENCE","","","","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35139,"R",205,"MR","ROY","BRUCE","LARSON","Before Judge : LARSON","","","47880","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35140,"R",206,"MR","RANDALL","GERALD","LAWRENCE","Before Judge : LAWRENCE","","","49250","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35141,"AR",207,"MR","SAM","ADAM","FULLER","Before Judge : FULLER","","","","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35142,"R",208,"MISS","KRISTIN","MILDRED","RICE","Before Judge : RICE","","","43800","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35143,"R",209,"MRS","AMBER","CONSTANCE","RAMIREZ","Before Judge : RAMIREZ","","","41520","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35144,"R",210,"MISS","YOLANDA","ROBIN","FERNANDEZ","Before Judge : FERNANDEZ","","","43840","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35145,"R",211,"MS","COURTNEY","TINA","KING","Before Judge : KING","","","40086","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35146,"R",212,"MISS","CATHERINE","EDITH","GUTIERREZ","Before Judge : GUTIERREZ","","","40087","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35147,"R",213,"MRS","LUCY","HOLLY","MARSHALL","Before Judge : MARSHALL","","","40523","","","","Y","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35148,"R",214,"MR","HECTOR","NEIL","REYNOLDS","Before Judge : REYNOLDS","","","40524","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35149,"R",215,"PROFESSOR","THEODORE","ANTHONY","EVANS","Before Judge : EVANS","","","40089","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35150,"CJ",216,"MR","DAN","STEVEN","RAY","Before Judge : RAY","","","33420","","","","Y","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35151,"R",217,"MR","LEE","CORY","GIBSON","Before Judge : GIBSON","","","","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35152,"CJ",218,"MRS","AUDREY","BETH","HAYES","Before Judge : HAYES","","","30095","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35153,"CJ",219,"MR","ADAM","RICHARD","TUCKER","Before Judge : TUCKER","","","33140","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35154,"R",220,"MISS","EVA","JACKIE","MARSHALL","Before Judge : MARSHALL","","","41830","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35155,"AR",223,"MISS","FRANCES","CONNIE","LONG","Before Judge : LONG","","","60005","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35156,"R",224,"MR","JARED","JARED","FOSTER","Before Judge : FOSTER","","","40158","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35157,"R",32,"LORD","WILLIE","JEFFREY","COOPER","Before Judge : COOPER","","","47940","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35158,"AR",225,"MR","DOUGLAS","JOHNNY","REID","Before Judge : REID","","","","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35159,"R",226,"MRS","GERALDINE","CATHERINE","LONG","Before Judge : LONG","","","40620","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35160,"R",227,"MS","NORMA","VICTORIA","GARCIA","Before Judge : GARCIA","","","48620","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35161,"CJ",228,"MS","MONICA","YOLANDA","RAMIREZ","Before Judge : RAMIREZ","","","35190","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35162,"CJ",229,"MR","ARTHUR","MELVIN","BAILEY","Before Judge : BAILEY","","","","","","","Y","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35163,"R",231,"MR","RUBEN","MAX","KELLY","Before Judge : KELLY","","","49300","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35164,"R",232,"MR","DEREK","VINCENT","YOUNG","Before Judge : YOUNG","","","40398","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35165,"CJ",234,"MISS","GLORIA","GRACE","STEWART","Before Judge : STEWART","","","30079","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35166,"R",235,"MR","LEROY","DUSTIN","HERNANDEZ","Before Judge : HERNANDEZ","","","46010","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35167,"R",236,"MISS","ELLA","TARA","GRIFFIN","Before Judge : GRIFFIN","","","40630","","","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35168,"R",237,"MRS","PATRICIA","LINDA","BREWER","Before Judge : BREWER","","","43930","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35169,"R",238,"MS","BONNIE","CARLA","CARR","Before Judge : CARR","","","40159","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
35170,"R",240,"MS","VERA","NICOLE","BURTON","Before Judge : BURTON","","","40161","","QC","","N","",20-MAY-11 15:59:19,20-MAY-11 15:45:36,"Mercator","Mercator",4,80
34920,"CJ",760,"MRS","KRISTIN","SYLVIA","PERRY","Before Judge : PERRY","","","","","","","N","",27-MAR-15 10:28:08,12-MAY-09 15:30:33,"Mercator","Mercator",291,81
34921,"AR",761,"MS","NELLIE","DARLENE","BOYD","Before Judge : BOYD","","","60891","","QC","","N","",27-MAR-15 10:28:08,12-MAY-09 15:30:33,"Mercator","Mercator",291,81
34922,"AR",762,"MS","DEBORAH","TINA","TUCKER","Before Judge : TUCKER","","","60774","","","","N","",27-MAR-15 10:28:08,12-MAY-09 15:30:33,"Mercator","Mercator",291,81
34923,"CJ",763,"MR","JEREMY","MANUEL","MOORE","Before Judge : MOORE","","","","","","","N","",27-MAR-15 10:28:08,12-MAY-09 15:30:33,"Mercator","Mercator",291,81
34924,"CJ",764,"MISS","GRACE","TAMARA","WATKINS","Before Judge : WATKINS","","","","","","","N","",27-MAR-15 10:28:08,12-MAY-09 15:30:33,"Mercator","Mercator",291,81
34925,"CJ",765,"MR","BRYAN","LEONARD","HARRISON","Before Judge : HARRISON","","","","","","","N","",27-MAR-15 10:28:08,12-MAY-09 15:30:33,"Mercator","Mercator",291,81
34926,"CJ",766,"MRS","JAMIE","AGNES","MILLS","Before Judge : MILLS","","","","","","","N","",27-MAR-15 10:28:08,12-MAY-09 15:30:33,"Mercator","Mercator",291,81
34927,"CJ",767,"MR","STEVE","TROY","NGUYEN","Before Judge : NGUYEN","","","30178","","","","N","",27-MAR-15 10:28:08,12-MAY-09 15:30:33,"Mercator","Mercator",291,81
34928,"AR",768,"MISS","KRISTEN","TINA","HANSEN","Before Judge : HANSEN","","","60414","","","","N","",27-MAR-15 10:28:08,12-MAY-09 15:30:33,"Mercator","Mercator",291,81
34929,"CJ",770,"MR","JEROME","TIM","BROWN","Before Judge : BROWN","","","","","","","N","",27-MAR-15 10:28:08,12-MAY-09 15:30:33,"Mercator","Mercator",291,81
34930,"AR",771,"MR","ARTHUR","HARRY","BERRY","Before Judge : BERRY","","","60904","","","","N","",27-MAR-15 10:28:08,12-MAY-09 15:30:33,"Mercator","Mercator",291,81
34931,"R",772,"SIR","ADRIAN","EDGAR","KELLY","Before Judge : KELLY","","","44570","","","","N","",27-MAR-15 10:28:08,12-MAY-09 15:30:33,"Mercator","Mercator",291,81
34932,"AR",774,"MS","ANNA","WANDA","WELCH","Before Judge : WELCH","","","60258","","","","N","",27-MAR-15 10:28:08,12-MAY-09 15:30:33,"Mercator","Mercator",291,81
34933,"R",775,"MR","NEIL","MILTON","BAILEY","Before Judge : BAILEY","","","","","","","N","",27-MAR-15 10:28:08,12-MAY-09 15:30:33,"Mercator","Mercator",291,81
34934,"R",776,"MS","KRISTIN","RUBY","WEBB","Before Judge : WEBB","","","","","","","N","",27-MAR-15 10:28:08,12-MAY-09 15:30:33,"Mercator","Mercator",291,81
34935,"CJ",778,"MR","CLINTON","THOMAS","CAMPBELL","Before Judge : CAMPBELL","","","","","","","N","",27-MAR-15 10:28:08,12-MAY-09 15:30:33,"Mercator","Mercator",291,81
34936,"CJ",779,"MR","BEN","HAROLD","WRIGHT","Before Judge : WRIGHT","","","","","","","N","",27-MAR-15 10:28:08,12-MAY-09 15:30:33,"Mercator","Mercator",291,81
