"REF_SOLICITOR_FIRM_ID","SOLICITOR_FIRM_NAME","CREST_SOF_ID","COURT_ID","OBS_IND","SHORT_NAME","DX_REF","VAT_NO","LAST_UPDATE_DATE","CREATION_DATE","CREATED_BY","LAST_UPDATED_BY","VERSION","ADDRESS_ID","LA_CODE"
91525,"PEREZ SOLICITORS",12069,81,"N","PEREZ","DX 199200 ASHBOURNE","222555222",27-MAR-15 10:28:43,12-MAY-09 15:30:43,"Mercator","Mercator",291,529143,""
91526,"MATTHEWS SOLICITORS",12194,81,"N","MATTHEWS","DX 28136 ACLE","555777888",27-MAR-15 10:28:43,12-MAY-09 15:30:43,"Mercator","Mercator",291,529144,""
91527,"FRAZIER SOLICITORS",12107,81,"N","FRAZIER","DX 5992 AMBLE","888888222",27-MAR-15 10:28:43,12-MAY-09 15:30:43,"Mercator","Mercator",291,529145,""
91528,"ROGER and CO",181,81,"N","GRANT","DX 244227 ATHERSTONE","333222999",27-MAR-15 10:28:43,12-MAY-09 15:30:43,"Mercator","Mercator",291,529146,""
91529,"JIMMY and CO",423,81,"N","HUGHES","DX 181152 AMESBURY","222777888",27-MAR-15 10:28:43,12-MAY-09 15:30:43,"Mercator","Mercator",291,529147,""
91530,"GRIFFIN SOLICITORS",183,81,"N","GRIFFIN","DX 119155 AUDENSHAW","555888444",27-MAR-15 10:28:44,12-MAY-09 15:30:43,"Mercator","Mercator",291,529148,""
91531,"PEDRO and CO",11159,81,"N","HILL","DX 1587 ACLE","444555555",27-MAR-15 10:28:44,12-MAY-09 15:30:43,"Mercator","Mercator",291,529149,""
91532,"BURTON SOLICITORS",12296,81,"N","BURTON","DX 6119 ALDERSHOT","333666333",27-MAR-15 10:28:44,12-MAY-09 15:30:43,"Mercator","Mercator",291,529150,""
91533,"JUSTIN and CO",11680,81,"N","LEE","DX 238167 ABRIDGE","222888111",27-MAR-15 10:28:44,12-MAY-09 15:30:43,"Mercator","Mercator",291,529151,""
91534,"MILLS SOLICITORS",12014,81,"N","MILLS","DX 59195 AMESBURY","888888888",27-MAR-15 10:28:44,12-MAY-09 15:30:44,"Mercator","Mercator",291,529152,""
91535,"DOBSON, CLEGG, PETERSON AND SMOOTHY",12379,81,"N","DOB - LONDON","","",27-MAR-15 10:28:44,12-MAY-09 15:30:44,"Mercator","Mercator",291,529153,""
91536,"CHRIS CLARK",12404,81,"N","Chris Clark - Townville City","","",27-MAR-15 10:32:16,12-MAY-09 15:30:44,"Mercator","Mercator",291,529154,""
91537,"VIVIAN THOMAS & JERVIS",12407,81,"N","Vivian Thomas Jervis - Town","","",27-MAR-15 10:32:12,12-MAY-09 15:30:44,"Mercator","Mercator",291,529155,""
91538,"JARED and CO",12016,81,"Y","HARVEY","DX 2111 BRADFORDDX ON AVON","999666888",27-MAR-15 10:28:45,12-MAY-09 15:30:44,"Mercator","Mercator",291,529156,""
91539,"KING SOLICITORS",10474,81,"N","KING","DX 64176 BAWTRY","111777111",27-MAR-15 10:28:46,12-MAY-09 15:30:44,"Mercator","Mercator",291,529157,""
91540,"WALLACE LAW LLP",11128,81,"N","WALLACE","DX 119126 BRIDLINGTON","555777111",27-MAR-15 10:28:46,12-MAY-09 15:30:44,"Mercator","Mercator",291,529158,""
91541,"VICTORIA and CO",12221,81,"N","GRIFFIN","DX 231110 BEXHILL-ON-SEA","111888111",27-MAR-15 10:28:46,12-MAY-09 15:30:44,"Mercator","Mercator",291,529159,""
91542,"MARIO and CO",10160,81,"N","MENDOZA","DX 217228 BROMYARD","999444888",27-MAR-15 10:28:46,12-MAY-09 15:30:44,"Mercator","Mercator",291,529160,""
91543,"CHRIS and CO",10179,81,"N","SHAW","DX 20348 BISHOPDX AUCKLAND ","333555666",27-MAR-15 10:28:46,12-MAY-09 15:30:44,"Mercator","Mercator",291,529161,""
91544,"KELLEY SOLICITORS",11573,81,"N","KELLEY","DX 250142 BEESTON","111999222",27-MAR-15 10:28:46,12-MAY-09 15:30:44,"Mercator","Mercator",291,529162,""
91545,"HOWARD SOLICITORS",12064,81,"N","HOWARD","DX 194192 BERKELEY","666444333",27-MAR-15 10:28:47,12-MAY-09 15:30:44,"Mercator","Mercator",291,529163,""
91546,"GRAHAM SOLICITORS",11911,81,"N","GRAHAM","DX 18960 BOLLINGTON","888888777",27-MAR-15 10:28:47,12-MAY-09 15:30:44,"Mercator","Mercator",291,529164,""
91547,"JOHNSON LLP",12237,81,"N","JOHNSON","DX 24340 BERKHAMSTED","333555555",27-MAR-15 10:28:47,12-MAY-09 15:30:44,"Mercator","Mercator",291,529165,""
91548,"KING SOLICITORS",12359,81,"N","KING","DX 186111 BRENTWOOD","666999888",27-MAR-15 10:28:47,12-MAY-09 15:30:44,"Mercator","Mercator",291,529166,""
91549,"RAMON LLP",100,81,"Y","SHAW","DX 15554 BARNSLEY","333444777",27-MAR-15 10:28:47,12-MAY-09 15:30:44,"Mercator","Mercator",291,529167,""
91550,"DIAZ SOLICITORS",62,81,"Y","DIAZ","DX 220110 BLAYDON","999666666",27-MAR-15 10:28:47,12-MAY-09 15:30:44,"Mercator","Mercator",291,529168,""
91551,"MATTHEWS LAW SOLICITORS",12337,81,"N","MATTHEWS","DX 64118 BEESTON","888888333",27-MAR-15 10:28:47,12-MAY-09 15:30:44,"Mercator","Mercator",291,529169,""
91552,"ORTIZ LLP",10029,81,"Y","ORTIZ","DX 10539 BARKING","999666999",27-MAR-15 10:28:47,12-MAY-09 15:30:44,"Mercator","Mercator",291,529170,""
91553,"BROOKS LLP",11940,81,"N","BROOKS","DX 6395 BRAINTREE","111777999",27-MAR-15 10:28:48,12-MAY-09 15:30:44,"Mercator","Mercator",291,529171,""
91554,"WASHINGTON SOLICITORS",11947,81,"N","WASHINGTON","DX 147182 BRISTOL","555333777",27-MAR-15 10:28:48,12-MAY-09 15:30:44,"Mercator","Mercator",291,529172,""
91555,"NGUYEN LLP",11945,81,"N","NGUYEN","DX 241151 BISHOPSDX WALTHAM ","111333333",27-MAR-15 10:28:48,12-MAY-09 15:30:44,"Mercator","Mercator",291,529173,""
91556,"EDWARDS LLP",12094,81,"N","EDWARDS","DX 0117 BRIGHTON","222999111",27-MAR-15 10:28:48,12-MAY-09 15:30:45,"Mercator","Mercator",291,529174,""
91557,"RON LLP",11655,81,"N","WATSON","DX 2046 BATLEY","222444666",27-MAR-15 10:28:48,12-MAY-09 15:30:45,"Mercator","Mercator",291,529175,""
91558,"COOPER LLP",12298,81,"N","COOPER","DX 7224 BRIGG","111777777",27-MAR-15 10:28:48,12-MAY-09 15:30:45,"Mercator","Mercator",291,529176,""
91559,"GARDNER LLP",435,81,"N","GARDNER","DX 148239 BISHOPDX AUCKLAND ","555777888",27-MAR-15 10:28:48,12-MAY-09 15:30:45,"Mercator","Mercator",291,529177,""
91560,"JERRY and CO",11395,81,"N","CARPENTER","DX 3578 BOGNORDX REGIS ","888777111",27-MAR-15 10:28:49,12-MAY-09 15:30:45,"Mercator","Mercator",291,529178,""
91561,"PARKER LAW LLP",11807,81,"N","PARKER","DX 377 BEDWORTH","333111999",27-MAR-15 10:28:49,12-MAY-09 15:30:45,"Mercator","Mercator",291,529179,""
91562,"ANNE and CO",11555,81,"N","GONZALEZ","DX 128157 BEESTON","111888888",27-MAR-15 10:28:49,12-MAY-09 15:30:45,"Mercator","Mercator",291,529180,""
91563,"SUE and CO",11008,81,"N","HALL","DX 51134 BISHOPDX AUCKLAND ","555555555",27-MAR-15 10:28:49,12-MAY-09 15:30:45,"Mercator","Mercator",291,529181,""
91564,"CHRISTIAN and CO",11991,81,"N","THOMAS","DX 10417 BEDLINGTON","333888999",27-MAR-15 10:28:49,12-MAY-09 15:30:45,"Mercator","Mercator",291,529182,""
91565,"HUDSON SOLICITORS",11120,81,"N","HUDSON","DX 54182 BEER","333444888",27-MAR-15 10:28:49,12-MAY-09 15:30:45,"Mercator","Mercator",291,529183,""
91566,"YOUNG SOLICITORS",12089,81,"N","YOUNG","DX 135175 BILSTON","999888444",27-MAR-15 10:28:50,12-MAY-09 15:30:45,"Mercator","Mercator",291,529184,""
91567,"ALVAREZ SOLICITORS",10570,81,"Y","ALVAREZ","DX 22180 BISHOPSDX WALTHAM ","111888666",27-MAR-15 10:28:50,12-MAY-09 15:30:45,"Mercator","Mercator",291,529185,""
91568,"BOBBY LLP",11097,81,"N","MONTGOMERY","DX 22264 BOVEYDX TRACEY ","888666111",27-MAR-15 10:28:50,12-MAY-09 15:30:45,"Mercator","Mercator",291,529186,""
91569,"WASHINGTON LLP",10244,81,"N","WASHINGTON","DX 49113 BRAUNSTONEDX TOWN ","555999555",27-MAR-15 10:28:50,12-MAY-09 15:30:45,"Mercator","Mercator",291,529187,""
91570,"RAUL and CO",57,81,"N","WILSON","DX 192100 BEESTON","999444777",27-MAR-15 10:28:50,12-MAY-09 15:30:45,"Mercator","Mercator",291,529188,""
91571,"HAYES SOLICITORS",102,81,"N","HAYES","DX 3310 BERKHAMSTED","555999111",27-MAR-15 10:28:50,12-MAY-09 15:30:45,"Mercator","Mercator",291,529189,""
91572,"RYAN LLP",12211,81,"N","RYAN","DX 1673 BRIERLEY","222111666",27-MAR-15 10:28:50,12-MAY-09 15:30:45,"Mercator","Mercator",291,529190,""
91573,"KENNETH and CO",10067,81,"N","PERRY","DX 17 BEDFORD","222111666",27-MAR-15 10:28:51,12-MAY-09 15:30:45,"Mercator","Mercator",291,529191,""
91574,"CARROLL LLP",11939,81,"N","CARROLL","DX 90184 BRIGG","777555888",27-MAR-15 10:28:51,12-MAY-09 15:30:45,"Mercator","Mercator",291,529192,""
91575,"COLEMAN SOLICITORS",12140,81,"N","COLEMAN","DX 97102 BRISTOL","999888444",27-MAR-15 10:28:51,12-MAY-09 15:30:45,"Mercator","Mercator",291,529193,""
91576,"PORTER SOLICITORS",11061,81,"N","PORTER","DX 1081 BRENTWOOD","444999222",27-MAR-15 10:28:51,12-MAY-09 15:30:46,"Mercator","Mercator",291,529194,""
91577,"EDWARD and CO",11656,81,"N","PERKINS","DX 18929 BECCLES","777444222",27-MAR-15 10:28:51,12-MAY-09 15:30:46,"Mercator","Mercator",291,529195,""
91578,"JOSHUA and CO",11934,81,"N","DAVIS","DX 198 BENTON","111444222",27-MAR-15 10:28:51,12-MAY-09 15:30:46,"Mercator","Mercator",291,529196,""
91579,"DANIELS SOLICITORS",245,81,"Y","DANIELS","DX 42101 BARNOLDSWICK","333666777",27-MAR-15 10:28:52,12-MAY-09 15:30:46,"Mercator","Mercator",291,529197,""
91580,"LAUREN and CO",11541,81,"N","SIMS","DX 251214 BAILDON","111666333",27-MAR-15 10:28:52,12-MAY-09 15:30:46,"Mercator","Mercator",291,529198,""
91581,"SNYDER SOLICITORS",11884,81,"N","SNYDER","DX 19325 BORDON","888777555",27-MAR-15 10:28:52,12-MAY-09 15:30:46,"Mercator","Mercator",291,529199,""
91582,"WOOD SOLICITORS",11853,81,"N","WOOD","DX 2133 BATLEY","333888444",27-MAR-15 10:28:52,12-MAY-09 15:30:46,"Mercator","Mercator",291,529200,""
91583,"RYAN SOLICITORS",12304,81,"N","RYAN","DX 731 BECKENHAM","777999666",27-MAR-15 10:28:52,12-MAY-09 15:30:46,"Mercator","Mercator",291,529201,""
91584,"ALLEN SOLICITORS",12207,81,"N","ALLEN","DX 10260 BISHOPSDX CASTLE ","888777666",27-MAR-15 10:28:52,12-MAY-09 15:30:46,"Mercator","Mercator",291,529202,""
91585,"STEVENS LAW SOLICITORS",12059,81,"N","STEVENS","DX 2882 BRADNINCH","444333333",27-MAR-15 10:28:52,12-MAY-09 15:30:46,"Mercator","Mercator",291,529203,""
91586,"GRIFFIN SOLICITORS",12132,81,"N","GRIFFIN","DX 19469 BERKELEY","333111444",27-MAR-15 10:28:52,12-MAY-09 15:30:46,"Mercator","Mercator",291,529204,""
91587,"GIBSON SOLICITORS",12246,81,"N","GIBSON","DX 94194 BEWDLEY","999111222",27-MAR-15 10:28:53,12-MAY-09 15:30:46,"Mercator","Mercator",291,529205,""
91588,"STEPHENS LAW SOLICITORS",12174,81,"N","STEPHENS","DX 3384 BISHOPSDX CASTLE ","111222777",27-MAR-15 10:28:53,12-MAY-09 15:30:46,"Mercator","Mercator",291,529206,""
91589,"GERALDINE and CO",12098,81,"N","PARKER","DX 7340 BANSTEAD","222777666",27-MAR-15 10:28:53,12-MAY-09 15:30:46,"Mercator","Mercator",291,529207,""
91590,"HARPER LAW SOLICITORS",11776,81,"N","HARPER","DX 64209 BINGHAM","777444555",27-MAR-15 10:28:53,12-MAY-09 15:30:46,"Mercator","Mercator",291,529208,""
91591,"KIM and CO",12347,81,"Y","HOFFMAN","DX 12435 BOVEYDX TRACEY ","444999333",27-MAR-15 10:28:53,12-MAY-09 15:30:46,"Mercator","Mercator",291,529209,""
91592,"ANDERSON LAW SOLICITORS",10931,81,"Y","ANDERSON","DX 2296 BOLLINGTON","999888444",27-MAR-15 10:28:53,12-MAY-09 15:30:46,"Mercator","Mercator",291,529210,""
91593,"MENDOZA LLP",12213,81,"N","MENDOZA","DX 224116 BLAYDON","666555444",27-MAR-15 10:28:53,12-MAY-09 15:30:46,"Mercator","Mercator",291,529211,""
91594,"MURPHY SOLICITORS",11997,81,"N","MURPHY","DX 225181 BRAMPTON","777111666",27-MAR-15 10:28:53,12-MAY-09 15:30:46,"Mercator","Mercator",291,529212,""
91595,"KYLE and CO",12017,81,"N","WALLACE","DX 21233 BATH","333555444",27-MAR-15 10:28:54,12-MAY-09 15:30:46,"Mercator","Mercator",291,529213,""
91596,"STEVENS LLP",10277,81,"N","STEVENS","DX 56254 BRISTOL","666444555",27-MAR-15 10:28:54,12-MAY-09 15:30:46,"Mercator","Mercator",291,529214,""
91597,"HUNT LLP",10403,81,"N","HUNT","DX 7840 BRAMPTON","222444333",27-MAR-15 10:28:54,12-MAY-09 15:30:47,"Mercator","Mercator",291,529215,""
91598,"BRYANT SOLICITORS",11965,81,"N","BRYANT","DX 9628 BERKHAMSTED","999777555",27-MAR-15 10:28:54,12-MAY-09 15:30:47,"Mercator","Mercator",291,529216,""
91599,"BLACK SOLICITORS",11800,81,"N","BLACK","DX 35252 BARTON-UPON-HUMBER","333777888",27-MAR-15 10:28:54,12-MAY-09 15:30:47,"Mercator","Mercator",291,529217,""
91600,"JENKINS SOLICITORS",12284,81,"N","JENKINS","DX 4470 BOWNESS-ON-WINDERMERE","444888888",27-MAR-15 10:28:54,12-MAY-09 15:30:47,"Mercator","Mercator",291,529218,""
91601,"LANE SOLICITORS",12341,81,"Y","LANE","DX 141252 BLAYDON","555333222",27-MAR-15 10:28:54,12-MAY-09 15:30:47,"Mercator","Mercator",291,529219,""
91602,"HART SOLICITORS",101,81,"N","HART","DX 3171 BOLSOVER","666999666",27-MAR-15 10:28:55,12-MAY-09 15:30:47,"Mercator","Mercator",291,529220,""
91603,"SIMPSON SOLICITORS",12036,81,"N","SIMPSON","DX 700 BRADFORDDX ON AVON","333777333",27-MAR-15 10:28:55,12-MAY-09 15:30:47,"Mercator","Mercator",291,529221,""
91604,"NICOLE and CO",11962,81,"N","THOMAS","DX 224222 BIGGLESWADE","444555333",27-MAR-15 10:28:55,12-MAY-09 15:30:47,"Mercator","Mercator",291,529222,""
91605,"RYAN and CO",11704,81,"N","LAWSON","DX 21370 BRENTWOOD","333555333",27-MAR-15 10:28:55,12-MAY-09 15:30:47,"Mercator","Mercator",291,529223,""
91606,"HERMAN and CO",79,81,"N","DANIELS","DX 47160 BRAUNSTONEDX TOWN ","777666333",27-MAR-15 10:28:56,12-MAY-09 15:30:47,"Mercator","Mercator",291,529224,""
91607,"GARZA SOLICITORS",281,81,"Y","GARZA","DX 164145 BOURNEMOUTH","111222555",27-MAR-15 10:28:56,12-MAY-09 15:30:47,"Mercator","Mercator",291,529225,""
91608,"KNIGHT SOLICITORS",11951,81,"N","KNIGHT","DX 18062 BRAMPTON","222999555",27-MAR-15 10:28:56,12-MAY-09 15:30:47,"Mercator","Mercator",291,529226,""
91609,"STEWART SOLICITORS",341,81,"N","STEWART","DX 199116 BLANDFORDDX FORUM ","666222777",27-MAR-15 10:28:56,12-MAY-09 15:30:47,"Mercator","Mercator",291,529227,""
91610,"ROMERO SOLICITORS",11683,81,"N","ROMERO","DX 17133 BACUP","222444111",27-MAR-15 10:28:56,12-MAY-09 15:30:47,"Mercator","Mercator",291,529228,""
91611,"LONNIE and CO",441,81,"N","WRIGHT","DX 225170 BOVEYDX TRACEY ","888888666",27-MAR-15 10:28:56,12-MAY-09 15:30:47,"Mercator","Mercator",291,529229,""
91612,"HUDSON SOLICITORS",12230,81,"N","HUDSON","DX 77187 BOWNESS-ON-WINDERMERE","111999111",27-MAR-15 10:28:56,12-MAY-09 15:30:47,"Mercator","Mercator",291,529230,""
91613,"ANN and CO",12058,81,"N","ROBINSON","DX 21878 BACUP","333777444",27-MAR-15 10:28:57,12-MAY-09 15:30:47,"Mercator","Mercator",291,529231,""
91614,"LOIS and CO",11362,81,"N","SHAW","DX 9445 BIRMINGHAM","555333444",27-MAR-15 10:28:57,12-MAY-09 15:30:47,"Mercator","Mercator",291,529232,""
91615,"FISHER SOLICITORS",12067,81,"N","FISHER","DX 98227 BERWICK-UPON-TWEED","444444555",27-MAR-15 10:28:57,12-MAY-09 15:30:47,"Mercator","Mercator",291,529233,""
91616,"LAWRENCE SOLICITORS",10686,81,"N","LAWRENCE","DX 238211 BEXHILL-ON-SEA","888999666",27-MAR-15 10:28:57,12-MAY-09 15:30:47,"Mercator","Mercator",291,529234,""
91617,"MARSHALL SOLICITORS",12168,81,"N","MARSHALL","DX 150106 BRADING","111444111",27-MAR-15 10:28:57,12-MAY-09 15:30:47,"Mercator","Mercator",291,529235,""
91618,"CRAWFORD LLP",11074,81,"N","CRAWFORD","DX 7110 BOREHAMWOOD","333999999",27-MAR-15 10:28:57,12-MAY-09 15:30:48,"Mercator","Mercator",291,529236,""
91619,"JOHNSON SOLICITORS",12180,81,"N","JOHNSON","DX 157210 BISHOPSDX STORTFORD ","444666555",27-MAR-15 10:28:57,12-MAY-09 15:30:48,"Mercator","Mercator",291,529237,""
91620,"SILVA SOLICITORS",11742,81,"N","SILVA","DX 2174 BEBINGTON","999777666",27-MAR-15 10:28:58,12-MAY-09 15:30:48,"Mercator","Mercator",291,529238,""
91621,"KRISTIN and CO",11702,81,"N","COOPER","DX 188230 BRAUNSTONEDX TOWN ","555111333",27-MAR-15 10:28:58,12-MAY-09 15:30:48,"Mercator","Mercator",291,529239,""
91622,"LEO and CO",11675,81,"N","TORRES","DX 171108 BRAINTREE","111555999",27-MAR-15 10:28:58,12-MAY-09 15:30:48,"Mercator","Mercator",291,529240,""
91623,"TROY and CO",11040,81,"N","BISHOP","DX 9186 BROMSGROVE","444888333",27-MAR-15 10:28:58,12-MAY-09 15:30:48,"Mercator","Mercator",291,529241,""
91624,"BELL SOLICITORS",12130,81,"N","BELL","DX 1986 BOGNORDX REGIS ","888555111",27-MAR-15 10:28:58,12-MAY-09 15:30:48,"Mercator","Mercator",291,529242,""
91625,"LAWRENCE SOLICITORS",11963,81,"N","LAWRENCE","DX 2565 BOROUGHBRIDGE","777777222",27-MAR-15 10:28:58,12-MAY-09 15:30:48,"Mercator","Mercator",291,529243,""
91626,"MIKE LLP",11176,81,"N","PHILLIPS","DX 384 BRADFORD","444111111",27-MAR-15 10:28:58,12-MAY-09 15:30:48,"Mercator","Mercator",291,529244,""
91627,"DEAN SOLICITORS",12032,81,"N","DEAN","DX 52249 BEDFORD","222999444",27-MAR-15 10:28:59,12-MAY-09 15:30:48,"Mercator","Mercator",291,529245,""
91628,"KYLE and CO",11713,81,"N","GRANT","DX 21686 BRAINTREE","999555666",27-MAR-15 10:28:59,12-MAY-09 15:30:48,"Mercator","Mercator",291,529246,""
91629,"LOPEZ LLP",12216,81,"N","LOPEZ","DX 16114 BOURNE","555666222",27-MAR-15 10:28:59,12-MAY-09 15:30:48,"Mercator","Mercator",291,529247,""
91630,"WARD LLP",12121,81,"N","WARD","DX 254150 BECCLES","666333222",27-MAR-15 10:28:59,12-MAY-09 15:30:48,"Mercator","Mercator",291,529248,""
91631,"NGUYEN LAW SOLICITORS",10552,81,"N","NGUYEN","DX 14255 BRADFORD","444777222",27-MAR-15 10:28:59,12-MAY-09 15:30:48,"Mercator","Mercator",291,529249,""
91632,"JOHNSTON SOLICITORS",10098,81,"N","JOHNSTON","DX 24933 BASINGSTOKE","999333444",27-MAR-15 10:28:59,12-MAY-09 15:30:48,"Mercator","Mercator",291,529250,""
91633,"OWENS SOLICITORS",11443,81,"N","OWENS","DX 44183 BEWDLEY","888333999",27-MAR-15 10:28:59,12-MAY-09 15:30:48,"Mercator","Mercator",291,529251,""
91634,"JONES LAW LLP",10015,81,"N","JONES","DX 24046 BRAMPTON","111111777",27-MAR-15 10:29:00,12-MAY-09 15:30:48,"Mercator","Mercator",291,529252,""
91635,"MILLER SOLICITORS",12075,81,"N","MILLER","DX 86254 BROMLEY","555666333",27-MAR-15 10:29:00,12-MAY-09 15:30:48,"Mercator","Mercator",291,529253,""
91636,"LEWIS LLP",11630,81,"N","PRICE","DX 209227 BECKENHAM","444888999",27-MAR-15 10:29:00,12-MAY-09 15:30:48,"Mercator","Mercator",291,529254,""
91637,"MORRISON SOLICITORS",11953,81,"N","MORRISON","DX 173236 BRIERLEYDX HILL ","111555222",27-MAR-15 10:29:00,12-MAY-09 15:30:48,"Mercator","Mercator",291,529255,""
91450," SOLICITORS",10941,81,"Y","","DX 111184 AXMINSTER","888555888",27-MAR-15 10:28:27,12-MAY-09 15:30:40,"Mercator","Mercator",291,529068,""
91451,"PETERSON SOLICITORS",11865,81,"N","PETERSON","DX 15752 ALSAGER","111222444",27-MAR-15 10:28:27,12-MAY-09 15:30:40,"Mercator","Mercator",291,529069,""
91452,"WEST LLP",330,81,"N","WEST","DX 16991 ATTLEBOROUGH","777555222",27-MAR-15 10:28:28,12-MAY-09 15:30:40,"Mercator","Mercator",291,529070,""
91453,"THOMAS SOLICITORS",12370,81,"Y","THOMAS","DX 84135 AXBRIDGE","222111666",27-MAR-15 10:28:28,12-MAY-09 15:30:40,"Mercator","Mercator",291,529071,""
91454,"MARIO and CO",11871,81,"N","GARZA","DX 193126 ATHERTON","555333444",27-MAR-15 10:28:28,12-MAY-09 15:30:40,"Mercator","Mercator",291,529072,""
91455,"GUTIERREZ LAW SOLICITORS",12338,81,"N","GUTIERREZ","DX 108145 APSLEY","333555777",27-MAR-15 10:28:28,12-MAY-09 15:30:40,"Mercator","Mercator",291,529073,""
91456,"LEE SOLICITORS",11186,81,"N","LEE","DX 203 ASCOT","333111111",27-MAR-15 10:28:30,12-MAY-09 15:30:40,"Mercator","Mercator",291,529074,""
91457,"BENJAMIN and CO",11979,81,"Y","WOOD","DX 30172 AMPTHILL","222777999",27-MAR-15 10:28:30,12-MAY-09 15:30:40,"Mercator","Mercator",291,529075,""
91458,"MELINDA and CO",12191,81,"N","NGUYEN","DX 17169 ALFRETON","777666333",27-MAR-15 10:28:30,12-MAY-09 15:30:40,"Mercator","Mercator",291,529076,""
91459,"ALLEN LLP",11753,81,"N","ALLEN","DX 13680 AMERSHAM","111333777",27-MAR-15 10:28:30,12-MAY-09 15:30:40,"Mercator","Mercator",291,529077,""
91460,"BOWMAN LLP",12198,81,"N","BOWMAN","DX 22942 ADDLESTONE","444777999",27-MAR-15 10:28:31,12-MAY-09 15:30:40,"Mercator","Mercator",291,529078,""
91461,"ALEXANDER SOLICITORS",11481,81,"N","ALEXANDER","DX 2268 ASPATRIA","222999333",27-MAR-15 10:28:31,12-MAY-09 15:30:40,"Mercator","Mercator",291,529079,""
91462,"NELSON LLP",11908,81,"N","NELSON","DX 65222 ALTON","333444555",27-MAR-15 10:28:31,12-MAY-09 15:30:40,"Mercator","Mercator",291,529080,""
91463,"HARRIS SOLICITORS",11712,81,"N","HARRIS","DX 22828 ATHERTON","777555777",27-MAR-15 10:28:31,12-MAY-09 15:30:40,"Mercator","Mercator",291,529081,""
91464,"WASHINGTON SOLICITORS",11907,81,"N","WASHINGTON","DX 149118 ATHERSTONE","444111444",27-MAR-15 10:28:31,12-MAY-09 15:30:40,"Mercator","Mercator",291,529082,""
91465,"FREDERICK and CO",12247,81,"N","HARPER","DX 9217 ATTLEBOROUGH","444444444",27-MAR-15 10:28:32,12-MAY-09 15:30:40,"Mercator","Mercator",291,529083,""
91466,"MASON LLP",12020,81,"N","MASON","DX 21522 ADWICKDX LE STREET","666333888",27-MAR-15 10:28:32,12-MAY-09 15:30:40,"Mercator","Mercator",291,529084,""
91467,"PATTERSON SOLICITORS",12331,81,"N","PATTERSON","DX 197182 ANDOVER","",27-MAR-15 10:28:33,12-MAY-09 15:30:40,"Mercator","Mercator",292,529085,""
91468,"MARY and CO",12332,81,"N","CRUZ","DX 253150 ATTLEBOROUGH","999777111",27-MAR-15 10:28:34,12-MAY-09 15:30:40,"Mercator","Mercator",291,529086,""
91469,"GERALD and CO",10156,81,"N","WILSON","DX 248124 ALDRIDGE","666222777",27-MAR-15 10:28:34,12-MAY-09 15:30:41,"Mercator","Mercator",291,529087,""
